embedder,labelling,k,granted_fraction,n_labels_granted,mechanism,bucket,metric,mean,lo,hi,draws
bge-m3,compartment,5,0.9,36,none,unanswerable,authorized,0.12048618884189995,0.0,0.2324999999999999,40
bge-m3,compartment,5,0.9,36,none,unanswerable,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.9,36,none,unanswerable,leaked,3.1105490915136627,1.9776020408163266,3.7262254901960783,40
bge-m3,compartment,5,0.9,36,none,unanswerable,recall,0.6271448516474251,0.480975,0.7884608477011493,40
bge-m3,compartment,5,0.9,36,part,all,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.9,36,part,all,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.9,36,part,all,leaked,0.0,0.0,0.0,40
bge-m3,compartment,5,0.9,36,part,all,recall,0.5817391666666667,0.5269958333333332,0.6313083333333334,40
bge-m3,compartment,5,0.9,36,part,answerable,any_hit,0.7118115144169033,0.697885726864579,0.7289336455893833,40
bge-m3,compartment,5,0.9,36,part,answerable,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.9,36,part,answerable,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.9,36,part,answerable,leaked,0.0,0.0,0.0,40
bge-m3,compartment,5,0.9,36,part,answerable,recall,0.6546760732131419,0.6383214555691237,0.6731723899467128,40
bge-m3,compartment,5,0.9,36,part,unanswerable,any_hit,0.0603030994889122,0.0,0.11556122448979592,40
bge-m3,compartment,5,0.9,36,part,unanswerable,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.9,36,part,unanswerable,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.9,36,part,unanswerable,leaked,0.0,0.0,0.0,40
bge-m3,compartment,5,0.9,36,part,unanswerable,recall,0.024317849162878494,0.0,0.05006481481481481,40
bge-m3,compartment,5,0.9,36,post,all,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.9,36,post,all,context_size,4.46475,4.08875,4.842499999999999,40
bge-m3,compartment,5,0.9,36,post,all,leaked,0.0,0.0,0.0,40
bge-m3,compartment,5,0.9,36,post,all,recall,0.5780141666666666,0.5212125,0.6304958333333333,40
bge-m3,compartment,5,0.9,36,post,answerable,any_hit,0.7080514885147113,0.6956325925698401,0.726012099921936,40
